ひらがな,単語,英語,ジャンル,関連,出題,ソース,重要度,文字数,説明
あいぜんくじんかくしつもんし,アイゼンク人格質問紙,Eysenck Personality Questionaire,性格心理学,外向性,,マイヤーズ,1,227,イギリスの心理学者であるハンス・アイゼンクとシビル・アイゼンクにより提唱された、人間の正常範囲の個人差の多くは因子分析によって外向性ー内向性、情緒安定性ー情緒不安定性といった2〜3次元まで縮退できるという考えのもと、パーソナリティをそれらの軸で表現することを目的とした質問紙のこと。中国からウガンダからロシアまで世界35カ国の人々がこの検査を受けており、因子の数が2つのものをモーズレー性格検査(MPI)、3つのものをアイゼンク性格検査(EPQ)と呼ぶ。
あいちゃく,愛着,Attachment,発達心理学,代理母実験,,マイヤーズ,3,245,人間と誰か、何かとの情動的なきずなを指す言葉で、特に発達心理学においては乳児が特定の誰か密接な関係を求める傾向を指す。幼い子供では、養育者の近くにいることを求め、離れると悲痛を表出するような行動で現れる強力な生存本能である。ハーロウの代理母実験により柔らかくて温かいなどの安全基地としての特徴を持つものに乳児は愛着を示すことが示されている。メアリー・エインズワースのストレンジ・シチュエーションという手法により愛着は安定型愛着、不安定型愛着（回避型、両価型、無秩序型）などに分類されている。
あいでんてぃてぃ,アイデンティティ,identity,発達心理学,,,マイヤーズ,5,276,自分が何者であるかという一個の一貫した意識のことで、自己同一性とも呼ばれる。特にエリクソンによるとアイデンティティの形成は青年期の課題とされ、様々な役割を試し統合することによって自己の意識を確固たるものにすることが必要と言われる。自分が周囲の他者とどう異なるのかに注目することで、留学生や障害者、マイノリティ集団の一員などでは、自分たちの顕著性に基づいて社会的アイデンティティが形成されることがある。一方青年期の若者では親の価値観や期待、特定の仲間集団のアイデンティティを丸写ししてアイデンティティを早めに作ってしまう例があるとエリクソンは論じている。
あごにすと,アゴニスト,agonist,神経科学,薬物　アゴニスト,,マイヤーズ、生命科学,4,196,細胞の受容体に結合して、細胞内シグナル伝達を活性化させる物質で、生体内に存在する分子を指すリガンドに対して、生体内に存在しない物質を指す言葉。種々の受容体に対して選択性の高いアゴニストが合成されて、さまざまな疾病の治療薬として利用されている。例えば、脳内に存在するニコチン性アセチルコリン受容体は思考と密接な関係を持つが、ニコチンがアゴニストとなるため、タバコを吸うことによって集中力が増す。
あんたごにすと,アンタゴニスト,antagonist,神経科学,薬物　アンタゴニスト,,マイヤーズ、生命科学,4,243,細胞の受容体に結合して細胞内シグナル伝達を活性化させる物質であるアゴニストに対し、構造が似ているために結合するが細胞内に情報を送り込むことができない分子のこと。結果としてアゴニストの受容体への結合を遮断するために拮抗薬とも呼ばれる。種々の受容体に対して選択性の高いアゴニストが合成されて、さまざまな疾病の治療薬として利用されている。例えば、筋肉にあるニコチン性アセチルコリン受容体に対し、矢毒であるクラーレはアンタゴニストとして働き、矢に当たった動物は筋肉の収縮を止められ動かなくなる。
あすぺるがーしょうこうぐん,アスペルガー症候群,Asperger,精神医学,発達障害,,マイヤーズ、厚生労働省,5,223,自閉症スペクトラム障害（ASD）の一種で、知能が低くない高機能の自閉症の形である。知能が正常で、しばしば特定分野での非凡な技能や才能があるが、社会的スキルやコミュニケーション能力が欠如しており、どうでもいい刺激に目移りする傾向がある。近年では約100人に1人いると報告されており、性別では男性が多く、女性の約4倍の発生頻度だとされている。その原因はまだ特定されていないが、多くの遺伝的な要因が複雑に関与して起こる脳機能障害が原因と考えられている。
あせちるこりん,アセチルコリン,acetylcholine,神経科学,神経伝達物質　アンタゴニスト,,マイヤーズ,4,222,筋活動や学習、記憶に関与する興奮性の化学シナプスで用いられる神経伝達物質の一種である。特に筋活動に関しては、運動ニューロンと骨格筋のあらゆる接合部で働く神経伝達物質であり、アセチルコリンが受容体へ放出されると筋が収縮する。そのため、麻酔などにおいてはアセチルコリンに対するアンタゴニストによりアセチルコリンの伝達が阻害されることで、筋が収縮できずに運動麻痺になる。アルツハイマー病では、アセチルコリン産生ニューロンが衰退することが知られている。
あとじえばいあす,後知恵バイアス,hindsight bias,社会心理学,バイアス,,マイヤーズ,4,232,結果を知った後で、それを前から予想していたと信じる傾向のこと。「はじめからわかっていた現象」としても知られている。人間の持つ常識は、未来に何が起こるかを予測するのは難しいが過去に起こったことを説明するのに長けているという乖離があるために、現在説明できる過去の事象をその時にも予測が可能だったはずだと感じてしまうことがその理由と考えられている。また、虚記憶、公正世界信念との関連も示唆されている。起こりえた別の事象を考えることでその効果を低減させられるとされている。
あどれなりん,アドレナリン,adrenaline,神経科学,神経伝達物質,,マイヤーズ,4,194,内分泌系で用いられるホルモンの一つ。例えば危険が迫った時に自律神経系が腎臓の直上にある副腎に指令を送りアドレナリンとノルアドレナリンを放出させ、心拍数や血圧、血糖値を上げて、エネルギー供給の急上昇をもたらし、興奮状態にさせる。ニコチンの摂取時には急増したニコチンが中枢神経系に信号を与えてアドレナリンとノルアドレナリンを放出させ、食欲の減退、注意力と心的作業効率の向上をもたらすとされる。
あぶみこつ,アブミ骨,Stapes,知覚心理学,聴覚　耳小骨,,マイヤーズ,1,99,中耳の骨の一つである。音波が鼓膜に伝わって固体の振動に変換されたのち、鼓膜に接するツチ骨、キヌタ骨、そしてこのアブミ骨からなる一連の力学過程が振動を蝸牛に伝える。この3つの骨を総称して耳小骨と呼ぶ。
あるこーるいそん,アルコール依存,Alcohol dependence,神経科学,薬物,,マイヤーズ、厚生労働省,4,320,アルコールを繰り返し多量に摂取した結果、アルコールに対し依存を形成し、生体の精神的および身体的機能が持続的あるいは慢性的に障害されている状態のこと。俗にアルコール中毒とも呼ばれる。アルコールは神経活動を減少させて身体機能を鈍らせる抑制薬の一種であり、神経情報処理の低下や、記憶の形成の阻害、自己認識と自己コントロールの低下をもたらす。少量摂取によって飲んだ本人は興奮状態となり活性化するが、これはアルコールが脱抑制剤として作用するためであり、判断と抑制を司る前頭前野の脳活動を鈍らせることによるものである。アルコール依存の患者では、長期の飲酒で脳が萎縮する例も見られる。特にアルコールを代謝する酵素が少ない女性の方がその危険があるとされる。
あるつはいまーびょう,アルツハイマー病,Alzheimer's disease,精神医学,,,マイヤーズ,4,324,認知症の一種で、記憶や推論能力の低下など不可逆的な様々な認知機能の低下が主な症状である。高齢化が進むにつれそのリスクが高まることが知られている。その患者では、脳細胞が失われ、記憶や思考に必要な神経伝達物質アセチルコリンを産生するニューロンが劣化することがある。アルツハイマー病の発症率は、記憶課題や運動といった心身のエクササイズを行う人で若干少ないことがわかっており、60代を過ぎて認知機能を用いる仕事や課題をこなすことがその対策として議論されるようになっている。また、新しい技術を用いてリスクの高い因子や問題のある脊髄中のタンパク質断片の発見、アルツハイマー病感受性遺伝子の検査などができるようになっており、進行を抑える薬などの研究が進んでいる。
あんふぇたみん,アンフェタミン,amphetamine,神経科学,薬物　興奮薬,,マイヤーズ、wikipedia,1,173,強い中枢興奮作用を持つ、間接型アドレナリン受容体刺激薬である。ADHDやナルコレプシーに作用するとされる薬物で、メタンフェタミンと同等の中枢興奮作用と精神依存性、薬物耐性を持つ。身体機能のスピードアップとそれに関連する活力と気分の変化をもたらす。メタンフェタミン、カフェイン、ニコチン、コカインなどに並ぶ興奮薬で、日本では覚醒剤に指定されている。
あへんざい,アヘン剤,opiate,神経科学,,,マイヤーズ,2,255,アヘンとその誘導体であるモルヒネやヘロインのこと。神経の正常な機能を抑制し、一時的に疼痛や不安を軽減する効果がある。摂取した際には瞳孔は収縮し、呼吸は遅くなり、眠気が襲ってきて、短期間の快楽が得られる。その短期間の快楽の代償として、アヘン剤使用者は次の摂取への渇望やだんだんと増える増加量、極めて不快な離脱症状に悩まされることになる。人工アヘン剤の長期の使用で、脳は天然の麻薬物質であるエンドルフィンを生成しなくなり、その後にアヘン剤を離脱した場合、鎮痛作用を司る神経伝達物質が低いレベルの状態になるとされる。
あるふぁは,アルファ波,alpha wave,脳神経科学,,,マイヤーズ、心理生理学,4,278,律動性の脳波の成分のうち、リラックスした覚醒状態で特に顕著に現れる比較的遅めの8Hzから13Hzの脳波のこと。人の脳波を初めて報告したドイツの精神科医ハンス・ベルガーによって名付けられた。特に入眠直前の安静時の脳波で最も綺麗に現れるとされており、深く眠るにつれその周波数が低下し、振幅が大きくなることが報告されている。心理学研究においてはリラックスの指標として用いられており、開眼、刺激の提示、課題の開始などによってアルファ波が消えることが知られている。また、脳機能研究においてもアルファ波のパワーが脳部位の活動性の低さに対応していることが用いられている。
あんぜんきち,安全基地,secret base,発達心理学,愛着,,マイヤーズ、概論1,3,0,
あんていてん,安定点,settling point,健康心理学,設定点　飢餓,,マイヤーズ、厚生労働省,1,265,ある人の体重がカロリーの摂取・消費（環境要因と生物学的要因に影響されるもの）に応じて収まっていく体重レベルのことを指す。例えば1日の摂取エネルギーを100kcal減らした場合、ある程度の期間は体重が減少するが、体重が徐々に減ることによって1日の消費エネルギーも少しずつ減少するために体重の変化は緩慢になり、やがて変化しなくなる。この摂取と消費の関係から定まるのが安定点であり、生物の特定の体重レベルを維持しようとする働きにおいて体重が元に戻ろうとする基準となる体重である設定点（setting point）とは区別して用いられる。
いかり,怒り,anger,社会心理学,,,マイヤーズ,3,299,人間の情動の一つで、さまざまな基本情動の定義においてその一つと位置付けられる普遍的な情動である。Russelの情動を感情価と覚醒度の二次元上で特徴づける手法においては負の感情価で正の覚醒度を持つものとされ、敵意や批判を伴うことが多く闘争の引き金となりうる情動である。個人主義的文化においては怒りは適度に解消されるべき、ガス抜きされるべきとされるが、これは攻撃的な振る舞いや夢想を通じて情動の解放であるカタルシスの達成がなされるからと考えられる。しかし、怒りの表出で一時的に気分が安らぐのは罪悪感や不安がついてこないときに限るとされる。しばしば情動を持つ本人にも悪い影響を及ぼすことがある情動である。
いきか,閾下,subliminal,認知心理学,,,マイヤーズ,4,336,意識的気づきのための絶対閾よりも刺激強度や感覚量が低いこと。絶対閾は特定の刺激について50%の確率でその存在が分かるための刺激量と定義されるため、閾下刺激は50％以下の確率で検出される刺激である。特定の状況下では、意識的には気づかないほどの弱い刺激も認知行動に影響を与えることがある。マスキングを用いた手法がよく用いられ、特定の刺激が瞬間呈示されたのちに同じ場所にマスク刺激を提示することで意識的知覚が生じる前に脳の処理を中断させることで刺激を意識に上らせにくくする。例えばヌードの写真を閾下呈示しながら認知課題を行わせると性的嗜好によって反応速度や精度が変化するなど、刺激の存在や自分のそれに対する評価に気づかない状態でも認知行動に変化は現れることが実験で示されている。
いきち,閾値,threshold,認知心理学,心理物理　閾下,,マイヤーズ、概論2、心理学用語集,3,276,物理的な刺激に対して感覚として知覚できる、ぎりぎりの境界のことである閾に対応した値のこと。大きく分けて刺激閾と弁別閾があり、刺激閾（絶対閾）は１つの刺激量に対し、感覚量として知覚できる刺激の最少量のこと、弁別閾（丁度可知差異）は２つの刺激の間で、その刺激量の違いを感覚量として知覚できる最小差のことを指す。ウェーバーの法則は、この弁別閾が、標準刺激の強度に比例し、その比は一定であるという法則であり、その比をウェーバー比と呼ぶ。ウェーバーの法則は心理学で最初に数量化された法則であり、また現在でも通用するものであることから非常に重要な法則となっている。
いしき,意識,,,,,,2,0,
いしきたいけん,意識体験,,,,,,2,0,
いじんしゅこうか,異人種間効果,,,,,,4,0,
いせいあいしこう,異性愛指向,,,,,,3,0,
いそん,依存,dependence,,,,,4,0,
いちごはつわだんかい,一語発話段階,,,,,,2,0,
いちじきょうかし,一次強化子,,,,,,2,0,
いちらんせいそうせいじ,一卵性双生児,,,,,,2,0,
いっしゅつこうか,溢出効果,,,,,,,0,
いっぱんちのう,一般知能(g),,,,,,,0,
いでんし,遺伝子,,,,,,,0,
いでんてきしんぞく,遺伝的親族,,,,,,,0,
いでんりつ,遺伝率,,,,,,,0,
いど,イド,,,,,,,0,
いにしあちぶ,イニシアチブ,,,,,,,0,
いみろん,意味論,semantics,,,,,,0,
いみんのぱらどっくす,移民のパラドックス,,,,,,,0,
いめーじぼうちょう,イメージ膨張,,,,,,,0,
いろのこうじょうせい,色の恒常性,,,,,,,0,
いんえい,陰影,,,,,,,0,
いんしぶんせき,因子分析,,,,,,,0,
いんすりん,インスリン,,,,,,,0,
いんせいしょうじょう,陰性症状,,,,,,,0,
いんふぉーむどこんせんと,インフォームドコンセント,,,,,,,0,
いんぽてんす,インポテンス,,,,,,,0,
うぇくすらーちのうけんさ,ウェクスラー知能検査,,,,,,,0,
うぇーばーのほうそく,ウェーバーの法則,,,,,,,0,
うぇるにっけや,ウェルニッケ野,,,ブローカ野　言語,,,,0,
うじとそだちもんだい,氏と育ち問題,,,,,,,0,
うそはっけんき,うそ発見機,,,,,,,0,
うつびょう,うつ病,,,,,,,0,
うまみ,うま味,,,,,,,0,
うんどうかく,運動覚,,,,,,,0,
うんどうにゅーろん,運動ニューロン,,,,,,,0,
うんどうや,運動野,,,,,,,0,
れんぞくせいのかてい,連続性の仮定,,,,,,,0,
ちゅういせいぎょりろん,注意制御理論（ACT）,Attention Control Theory,,,,,,0,
ふおうき,不応期,refractory period,神経科学,活動電位　静止膜電位,,カンデル神経科学,4,332,活動電位が発生した後に電位依存性チャネルが不活性化する、つまり電位によって開かない状態となること。これにより活動電位の逆流が起こらず、活動電位が軸索を伝わる方向が細胞体から軸索終末方向に限定されている。不応期は絶対不応期と相対不応期に分けられる。活動電位の後に電位依存性カリウムチャネルが開き続けるために起こる後過分極における膜のカリウムコンダクタンスの一過性の増大とナトリウムチャネルの不活性化が相まって生じるのが絶対不応期で、活動電位の発生が不可能となっている。ナトリウムチャネルが不活性化から回復し始めると活動電位の発生は可能だが閾値に達するのに必要な刺激の強度が通常よりも大きくなる相対不応期に入る。両方を合わせると不応期の長さは5から10ms程度である。
ひふこんだくたんす,皮膚コンダクタンス,skin conductance,神経科学,,,心理生理学,,0,
じれいけんきゅう,事例研究,case study,研究法,,,概論1,,0,
しぜんかんさつ,自然観察,naturalistic observation,研究法,,,概論1,,0,
しつもんしちょうさ,質問紙調査,questionaire survey,研究法,,,概論1,,0,
じっけんしゃこうか,実験者効果,experimenter effect,研究法,,,概論1,,0,
ぎやくこうか,偽薬効果,placebo effect,研究法,,,概論1,,0,
にじゅうもうけんほう,二重盲検法,double-blind procedure,研究法,,,概論1,,0,
えぴじぇねてぃくす,エピジェネティクス,epigenetics,進化心理学,,,概論1,,0,
らまるくしゅぎ,ラマルク主義,Lamarckism,進化心理学,,,概論1,,0,
かりこみぷろせす,刈り込みプロセス,pruning process,発達心理学,,,概論1,,0,
げんしはんしゃ,原始反射,primitive reflex,発達心理学,,,概論1,,0,
ていいはんしゃ,定位反射,orienting reflex,発達心理学,,,概論1,,0,
ぴーえるほう,PL法,preferential looking,発達心理学,,,概論1,,0,
えふぴーえるほう,FPL法,forced-choice preferential looking ,発達心理学,,,概論1,,0,
かりこみ,刈り込み,pruning,発達心理学,,,概論1,,0,
,幼児期健忘,infantile amnesia,発達心理学,,,概論1,,0,
,モビール実験,mobile experiment,発達心理学,,,概論1,,0,
,同化,assimilation,発達心理学,,,概論1,,0,
,調節,accomodation,発達心理学,,,概論1,,0,
,感覚運動期,sensorimotor stage,発達心理学,ピアジェ,,概論1,,0,
,前操作期,preoperarional stage,発達心理学,ピアジェ,,概論1,,0,
,具体的操作期,concrete operational stage,発達心理学,ピアジェ,,概論1,,0,
,形式的操作期,formal operational stage,発達心理学,ピアジェ,,概論1,,0,
,思春期,puberty,発達心理学,,,概論1,,0,
,道徳的推論,moral reasoning,発達心理学,,,概論1,,0,
,古典的条件づけ,classical conditioning,行動主義,,,概論1,,0,
,オペラント条件づけ,operant conditioning,行動主義,,,概論1,,0,
,無条件刺激,unconditioned stimulus,行動主義,,,概論1,,0,
,無条件反応,unconditioned response,行動主義,,,概論1,,0,
,中性刺激,neutral stimulus,行動主義,,,概論1,,0,
,条件刺激,conditioned stimulus,行動主義,,,概論1,,0,
,条件反応,condiitoned response,行動主義,,,概論1,,0,
,習得と消去,acquisition & extinction,行動主義,,,概論1,,0,
,自発的回復,spontaneousrecovery,行動主義,,,概論1,,0,
,般化,generalization,行動主義,,,概論1,,0,
,分化,differentiation,行動主義,,,概論1,,0,
,弁別,discrimination,行動主義,,,概論1,,0,
,順行条件づけ,,行動主義,,,概論1,,0,
,同時条件づけ,,行動主義,,,概論1,,0,
,逆行条件づけ,,行動主義,,,概論1,,0,
,二次条件づけ,,行動主義,,,概論1,,0,
,感性予備条件づけ,,行動主義,,,概論1,,0,
,アルバート坊やの実験,,行動主義,,,概論1,3,282,ワトソンによって行われた行動主義心理学の実験。ワトソンは赤ちゃんのアルバート坊やに対して、白いネズミのぬいぐるみを渡すと同時に、大きな音を鳴らした。その結果、アルバート坊やは白いネズミのぬいぐるみを渡されると恐怖反応を示すようになった。パブロフと共通の用語を使用すると、白いネズミのぬいぐるみが中性刺激、大きい音が無条件刺激、恐怖反応が無条件反応に対応する。また、この実験を行った結果、そのほかの白い犬や白いクマのぬいぐるみといったに多様な対象に対しても恐怖反応を示すようになり、単一の刺激と反応だけではなく類似した刺激と反応の間の連合を学習していることを示した。
,恐怖条件づけ・条件性情動反応,,行動主義,,,概論1,,0,
,レスコーラ-ワグナーモデル,Rescorla-Wagner model,行動主義,,,概論1,,0,
,嫌悪条件づけ,aversive conditioning,行動主義,,,概論1,,0,
,暴露療法,exposure therapy,行動主義,,,概論1,,0,
,ソーンダイクの問題箱,Thorndike's puzzle box,行動主義,,,概論1,,0,
,効果の法則,law of effect,行動主義,,,概論1,,0,
,オペラント箱,Skinner'soperant chamber,行動主義,,,概論1,,0,
,三項随伴性,three-term contingency,行動主義,,,概論1,,0,
,強化スケジュール,reinforcement schedule,行動主義,,,概論1,,0,
,反応形成,shaping,行動主義,,,概論1,,0,
,漸次的接近法,successive approximations,行動主義,,,概論1,,0,
,条件性強化子,conditioned reinforcer,行動主義,,,概論1,,0,
,プレマックの原理,Premack principle,行動主義,,,概論1,,0,
みかくけんお,味覚嫌悪条件付け・ガルシア効果,tasete aversion,行動主義,生態学的妥当性、刷り込み,,概論1,4,407,食べ物を食べたあとに体調不良（腹痛、吐き気、嘔吐など）を経験すると、同じ食べ物を食べようとしたときに嫌悪感が出て食べられない現象。危険な食べ物を避ける生存本能だと考えられるが、通常の条件づけ学習とは異なる点があげられる。たった一度だけの経験でも学習されること、味覚と消化器官などの特定の刺激と反応の組み合わせで起こりやすいこと、刺激と反応の感覚が数時間離れていても成立すること、消去抵抗がかなり高く、いつまでも学習が残ってしまうことなどである。古典的条件付け、すなわち積み重なるストレスのようなものではなく、背側迷走神経系による凍りつき反応、トラウマに近いものだとされる。例えば、味覚と悪寒や吐き気、音と電気ショックなどが連合することを指す。ガルシア効果を示すために実験によってラットで味と電気ショックが連合しないことを示したとしても、生態学的妥当性を満たさないため、ラットに学習能力がないとするのは間違いである。
,本能的逸脱,insinctive drift,行動主義,,,概論1,,0,
,予報性,predictability,行動主義,,,概論1,,0,
,潜在学習,latent learning ,行動主義,,,概論1,,0,
,ミラーニューロン,mirror-neuron system,脳神経科学,,,概論1,,0,
,観察学習,observational learning,行動主義,,,概論1,,0,
,集団極性化,group polarization,行動主義,,,概論1,,0,
,二重貯蔵モデル,dual storage model,記憶心理学,記憶の3過程,,概論1,,0,
ばっでりーのさぎょうきおくもでる,バッデリーの作業記憶モデル,working memory model,記憶心理学,ワーキングメモリ,,概論1,4,221,Badddely & Hitchの提唱したワーキングメモリーのモデルのこと。中心的な構成概念として中央実行系があり、下位のシステムの記憶貯蔵庫と相互作用して、それらの制御と情報処理を行う認知システムである。記憶貯蔵庫には視空間スケッチパッド、音韻ループ、エピソードバッファがあり、それぞれ視覚的なワーキングメモリ、聴覚的なワーキングメモリ、想起したエピソード記憶の処理と貯蔵が行われているとされる。中央実行系は前頭前野背外側部が担うとされる。
さいにん,再認,,記憶心理学,,,概論1,3,147,以前に対象を知覚したことがあるとわかること。記憶をテストする方法の一つとして再認できることを確認する再認課題があり、刺激が以前に提示されたかどうかを答えることで対象についての記憶を調べるものである。覚えているものを再生させる自由再生課題よりも難易度が低いとされ、課題の成績が比較的高く出やすい。
,自由再生,,記憶心理学,,,概論1,,0,
,再学習,,記憶心理学,,,概論1,,0,
,プライミング,,記憶心理学,,,概論1,,0,
ぶぶんほうこくほう,部分報告法,,記憶心理学,,,概論1,3,174,感覚記憶を測るために用いられる手法。刺激が瞬間的に呈示された直後にそのうちのどの部分を回答するべきかが指示され、刺激の一部分を回答することで、複数のものを回答することによるリハーサルなどの影響を除去することができる。視覚の感覚記憶であるアイコニックメモリーにおいては聴覚で回答するべき部分が指示される。ジョージ・スパーリングによって実験が行われた。
,エビングハウスの忘却曲線,,記憶心理学,,,概論1,,0,
,チャンキング,,記憶心理学,,,概論1,,0,
,階層構造,,記憶心理学,,,概論1,,0,
,顕在記憶,,記憶心理学,海馬,,概論1,,0,
せんざいきおく,潜在記憶,,記憶心理学,扁桃体　小脳　大脳基底核,,概論1,3,81,非宣言的記憶、非陳述的記憶とも呼ばれる、言葉で表せない、意識の上に内容を想起できない記憶のこと。手続き記憶、プライミング、条件反射、古典的条件付け、非連合学習など
,長期増強,long-term potentiation,記憶心理学,,,概論1、wiki,4,160,神経細胞を同時刺激することにより2つの神経細胞間の信号伝達が持続的に向上する現象である。神経細胞はシナプス結合を介して信号伝達しており、記憶はこのシナプスに貯えられていると信じられているので、長期増強は学習と記憶の根底にある主要な細胞学的機構の1つであると広く考えられている。1966年にウサギの海馬で初めて発見された。
てたぬすしげき,テタヌス刺激,,記憶心理学,長期増強,,概論1,3,51,高い周波数、高頻度の電気刺激。この刺激の後はシナプスの伝導効率が上昇し、テタヌス刺激後増強と呼ばれる。
,系列位置効果,,記憶心理学,,,概論1,,0,
,状態依存記憶,,記憶心理学,,,概論1,,0,
,文脈依存記憶,,記憶心理学,,,概論1,,0,
,転移適切性処理,,記憶心理学,,,概論1,,0,
,符号化特定性原理,,記憶心理学,,,概論1,,0,
,忘却,,記憶心理学,,,概論1,,0,
